event_id,camera_id,frame_id,relative_sec,global_gt_id,best_head_crop,best_body_crop,identity_status,matched_known_id,matched_known_score,unknown_global_id,resolved_global_id,resolution_source,decision_reason,embedding_status,face_count,det_score,used_crop,used_crop_path,face_bbox
IN_C5_170_00000875,C5,875,87.5,170,D:\ĐỒ ÁN TỐT NGHIỆP\wildtrack_demo\output\best_shots\C5\IN_C5_170_00000875_head.png,D:\ĐỒ ÁN TỐT NGHIỆP\wildtrack_demo\output\best_shots\C5\IN_C5_170_00000875_body.png,unknown,,,UNK_0023,UNK_0023,unknown_assignment,no_known_match_over_threshold,no_face,0,,best_head_crop,D:\ĐỒ ÁN TỐT NGHIỆP\wildtrack_demo\output\best_shots\C5\IN_C5_170_00000875_head.png,
IN_C6_384_00000910,C6,910,91,384,D:\ĐỒ ÁN TỐT NGHIỆP\wildtrack_demo\output\best_shots\C6\IN_C6_384_00000910_head.png,D:\ĐỒ ÁN TỐT NGHIỆP\wildtrack_demo\output\best_shots\C6\IN_C6_384_00000910_body.png,unknown,,0.0360,UNK_0024,UNK_0024,unknown_assignment,no_known_match_over_threshold,ok,1,0.7348,best_head_crop,D:\ĐỒ ÁN TỐT NGHIỆP\wildtrack_demo\output\best_shots\C6\IN_C6_384_00000910_head.png,"[25, 23, 52, 56]"
IN_C6_451_00000915,C6,915,91.5,451,D:\ĐỒ ÁN TỐT NGHIỆP\wildtrack_demo\output\best_shots\C6\IN_C6_451_00000915_head.png,D:\ĐỒ ÁN TỐT NGHIỆP\wildtrack_demo\output\best_shots\C6\IN_C6_451_00000915_body.png,unknown,,0.1283,UNK_0025,UNK_0025,unknown_assignment,no_known_match_over_threshold,ok,1,0.5506,best_head_crop,D:\ĐỒ ÁN TỐT NGHIỆP\wildtrack_demo\output\best_shots\C6\IN_C6_451_00000915_head.png,"[50, 32, 66, 66]"
IN_C5_518_00000940,C5,940,94,518,D:\ĐỒ ÁN TỐT NGHIỆP\wildtrack_demo\output\best_shots\C5\IN_C5_518_00000940_head.png,D:\ĐỒ ÁN TỐT NGHIỆP\wildtrack_demo\output\best_shots\C5\IN_C5_518_00000940_body.png,unknown,,0.0239,UNK_0026,UNK_0026,unknown_assignment,no_known_match_over_threshold,ok,1,0.5680,best_head_crop,D:\ĐỒ ÁN TỐT NGHIỆP\wildtrack_demo\output\best_shots\C5\IN_C5_518_00000940_head.png,"[-7, 19, 19, 51]"
IN_C6_358_00000950,C6,950,95,358,D:\ĐỒ ÁN TỐT NGHIỆP\wildtrack_demo\output\best_shots\C6\IN_C6_358_00000950_head.png,D:\ĐỒ ÁN TỐT NGHIỆP\wildtrack_demo\output\best_shots\C6\IN_C6_358_00000950_body.png,known,known_demo_gt_0358,1.0000,,known_demo_gt_0358,face_match:best_body_crop,best_known_match_over_threshold,ok,1,0.8039,best_head_crop,D:\ĐỒ ÁN TỐT NGHIỆP\wildtrack_demo\output\best_shots\C6\IN_C6_358_00000950_head.png,"[10, 67, 44, 112]"
IN_C5_580_00001030,C5,1030,103,580,D:\ĐỒ ÁN TỐT NGHIỆP\wildtrack_demo\output\best_shots\C5\IN_C5_580_00001030_head.png,D:\ĐỒ ÁN TỐT NGHIỆP\wildtrack_demo\output\best_shots\C5\IN_C5_580_00001030_body.png,unknown,,0.0831,UNK_0027,UNK_0027,unknown_assignment,no_known_match_over_threshold,ok,1,0.7161,best_body_crop,D:\ĐỒ ÁN TỐT NGHIỆP\wildtrack_demo\output\best_shots\C5\IN_C5_580_00001030_body.png,"[82, 4, 102, 30]"
IN_C5_506_00001040,C5,1040,104,506,D:\ĐỒ ÁN TỐT NGHIỆP\wildtrack_demo\output\best_shots\C5\IN_C5_506_00001040_head.png,D:\ĐỒ ÁN TỐT NGHIỆP\wildtrack_demo\output\best_shots\C5\IN_C5_506_00001040_body.png,unknown,,0.1017,UNK_0028,UNK_0028,unknown_assignment,no_known_match_over_threshold,ok,1,0.5689,best_head_crop,D:\ĐỒ ÁN TỐT NGHIỆP\wildtrack_demo\output\best_shots\C5\IN_C5_506_00001040_head.png,"[-12, 27, 16, 61]"
IN_C6_64_00001360,C6,1360,136,64,D:\ĐỒ ÁN TỐT NGHIỆP\wildtrack_demo\output\best_shots\C6\IN_C6_64_00001360_head.png,D:\ĐỒ ÁN TỐT NGHIỆP\wildtrack_demo\output\best_shots\C6\IN_C6_64_00001360_body.png,unknown,,0.0744,UNK_0029,UNK_0029,unknown_assignment,no_known_match_over_threshold,ok,1,0.5199,best_body_crop,D:\ĐỒ ÁN TỐT NGHIỆP\wildtrack_demo\output\best_shots\C6\IN_C6_64_00001360_body.png,"[9, 23, 21, 43]"
IN_C6_67_00001385,C6,1385,138.5,67,D:\ĐỒ ÁN TỐT NGHIỆP\wildtrack_demo\output\best_shots\C6\IN_C6_67_00001385_head.png,D:\ĐỒ ÁN TỐT NGHIỆP\wildtrack_demo\output\best_shots\C6\IN_C6_67_00001385_body.png,unknown,,0.1245,UNK_0030,UNK_0030,unknown_assignment,no_known_match_over_threshold,ok,1,0.7547,best_head_crop,D:\ĐỒ ÁN TỐT NGHIỆP\wildtrack_demo\output\best_shots\C6\IN_C6_67_00001385_head.png,"[4, 26, 18, 48]"
IN_C5_67_00001405,C5,1405,140.5,67,D:\ĐỒ ÁN TỐT NGHIỆP\wildtrack_demo\output\best_shots\C5\IN_C5_67_00001405_head.png,D:\ĐỒ ÁN TỐT NGHIỆP\wildtrack_demo\output\best_shots\C5\IN_C5_67_00001405_body.png,unknown,,0.1245,UNK_0030,UNK_0030,unknown_assignment,no_known_match_over_threshold,ok,1,0.6277,best_head_crop,D:\ĐỒ ÁN TỐT NGHIỆP\wildtrack_demo\output\best_shots\C5\IN_C5_67_00001405_head.png,"[37, 37, 57, 68]"
IN_C5_75_00001495,C5,1495,149.5,75,D:\ĐỒ ÁN TỐT NGHIỆP\wildtrack_demo\output\best_shots\C5\IN_C5_75_00001495_head.png,D:\ĐỒ ÁN TỐT NGHIỆP\wildtrack_demo\output\best_shots\C5\IN_C5_75_00001495_body.png,unknown,,0.1605,UNK_0031,UNK_0031,unknown_assignment,no_known_match_over_threshold,ok,1,0.7550,best_head_crop,D:\ĐỒ ÁN TỐT NGHIỆP\wildtrack_demo\output\best_shots\C5\IN_C5_75_00001495_head.png,"[21, 29, 54, 71]"
IN_C5_80_00001600,C5,1600,160,80,D:\ĐỒ ÁN TỐT NGHIỆP\wildtrack_demo\output\best_shots\C5\IN_C5_80_00001600_head.png,D:\ĐỒ ÁN TỐT NGHIỆP\wildtrack_demo\output\best_shots\C5\IN_C5_80_00001600_body.png,unknown,,0.1147,UNK_0032,UNK_0032,unknown_assignment,no_known_match_over_threshold,ok,1,0.7941,best_body_crop,D:\ĐỒ ÁN TỐT NGHIỆP\wildtrack_demo\output\best_shots\C5\IN_C5_80_00001600_body.png,"[46, 33, 71, 66]"
IN_C6_617_00001680,C6,1680,168,617,D:\ĐỒ ÁN TỐT NGHIỆP\wildtrack_demo\output\best_shots\C6\IN_C6_617_00001680_head.png,D:\ĐỒ ÁN TỐT NGHIỆP\wildtrack_demo\output\best_shots\C6\IN_C6_617_00001680_body.png,unknown,,0.1867,UNK_0033,UNK_0033,unknown_assignment,no_known_match_over_threshold,ok,1,0.6904,best_head_crop,D:\ĐỒ ÁN TỐT NGHIỆP\wildtrack_demo\output\best_shots\C6\IN_C6_617_00001680_head.png,"[42, 29, 76, 71]"
IN_C6_81_00001685,C6,1685,168.5,81,D:\ĐỒ ÁN TỐT NGHIỆP\wildtrack_demo\output\best_shots\C6\IN_C6_81_00001685_head.png,D:\ĐỒ ÁN TỐT NGHIỆP\wildtrack_demo\output\best_shots\C6\IN_C6_81_00001685_body.png,unknown,,-0.0040,UNK_0034,UNK_0034,unknown_assignment,no_known_match_over_threshold,ok,1,0.7919,best_body_crop,D:\ĐỒ ÁN TỐT NGHIỆP\wildtrack_demo\output\best_shots\C6\IN_C6_81_00001685_body.png,"[76, 47, 101, 82]"
IN_C6_82_00001685,C6,1685,168.5,82,D:\ĐỒ ÁN TỐT NGHIỆP\wildtrack_demo\output\best_shots\C6\IN_C6_82_00001685_head.png,D:\ĐỒ ÁN TỐT NGHIỆP\wildtrack_demo\output\best_shots\C6\IN_C6_82_00001685_body.png,unknown,,0.0788,UNK_0035,UNK_0035,unknown_assignment,no_known_match_over_threshold,ok,1,0.7606,best_head_crop,D:\ĐỒ ÁN TỐT NGHIỆP\wildtrack_demo\output\best_shots\C6\IN_C6_82_00001685_head.png,"[43, 64, 74, 104]"
IN_C5_86_00001790,C5,1790,179,86,D:\ĐỒ ÁN TỐT NGHIỆP\wildtrack_demo\output\best_shots\C5\IN_C5_86_00001790_head.png,D:\ĐỒ ÁN TỐT NGHIỆP\wildtrack_demo\output\best_shots\C5\IN_C5_86_00001790_body.png,unknown,,0.1461,UNK_0036,UNK_0036,unknown_assignment,no_known_match_over_threshold,ok,2,0.6704,best_body_crop,D:\ĐỒ ÁN TỐT NGHIỆP\wildtrack_demo\output\best_shots\C5\IN_C5_86_00001790_body.png,"[6, 59, 37, 100]"
IN_C6_1020_00001850,C6,1850,185,1020,D:\ĐỒ ÁN TỐT NGHIỆP\wildtrack_demo\output\best_shots\C6\IN_C6_1020_00001850_head.png,D:\ĐỒ ÁN TỐT NGHIỆP\wildtrack_demo\output\best_shots\C6\IN_C6_1020_00001850_body.png,unknown,,,UNK_0037,UNK_0037,unknown_assignment,no_known_match_over_threshold,no_face,0,,best_head_crop,D:\ĐỒ ÁN TỐT NGHIỆP\wildtrack_demo\output\best_shots\C6\IN_C6_1020_00001850_head.png,
IN_C5_92_00001860,C5,1860,186,92,D:\ĐỒ ÁN TỐT NGHIỆP\wildtrack_demo\output\best_shots\C5\IN_C5_92_00001860_head.png,D:\ĐỒ ÁN TỐT NGHIỆP\wildtrack_demo\output\best_shots\C5\IN_C5_92_00001860_body.png,unknown,,0.1665,UNK_0038,UNK_0038,unknown_assignment,no_known_match_over_threshold,ok,1,0.6107,best_body_crop,D:\ĐỒ ÁN TỐT NGHIỆP\wildtrack_demo\output\best_shots\C5\IN_C5_92_00001860_body.png,"[71, 17, 92, 44]"
IN_C5_91_00001870,C5,1870,187,91,D:\ĐỒ ÁN TỐT NGHIỆP\wildtrack_demo\output\best_shots\C5\IN_C5_91_00001870_head.png,D:\ĐỒ ÁN TỐT NGHIỆP\wildtrack_demo\output\best_shots\C5\IN_C5_91_00001870_body.png,unknown,,0.1645,UNK_0039,UNK_0039,unknown_assignment,no_known_match_over_threshold,ok,1,0.7128,best_head_crop,D:\ĐỒ ÁN TỐT NGHIỆP\wildtrack_demo\output\best_shots\C5\IN_C5_91_00001870_head.png,"[23, 17, 56, 61]"
IN_C5_94_00001875,C5,1875,187.5,94,D:\ĐỒ ÁN TỐT NGHIỆP\wildtrack_demo\output\best_shots\C5\IN_C5_94_00001875_head.png,D:\ĐỒ ÁN TỐT NGHIỆP\wildtrack_demo\output\best_shots\C5\IN_C5_94_00001875_body.png,unknown,,0.1764,UNK_0040,UNK_0040,unknown_assignment,no_known_match_over_threshold,ok,1,0.5007,best_head_crop,D:\ĐỒ ÁN TỐT NGHIỆP\wildtrack_demo\output\best_shots\C5\IN_C5_94_00001875_head.png,"[36, 26, 63, 75]"
IN_C6_592_00001885,C6,1885,188.5,592,D:\ĐỒ ÁN TỐT NGHIỆP\wildtrack_demo\output\best_shots\C6\IN_C6_592_00001885_head.png,D:\ĐỒ ÁN TỐT NGHIỆP\wildtrack_demo\output\best_shots\C6\IN_C6_592_00001885_body.png,unknown,,0.1074,UNK_0041,UNK_0041,unknown_assignment,no_known_match_over_threshold,ok,1,0.7347,best_body_crop,D:\ĐỒ ÁN TỐT NGHIỆP\wildtrack_demo\output\best_shots\C6\IN_C6_592_00001885_body.png,"[2, 22, 18, 44]"
IN_C6_1018_00001900,C6,1900,190,1018,D:\ĐỒ ÁN TỐT NGHIỆP\wildtrack_demo\output\best_shots\C6\IN_C6_1018_00001900_head.png,D:\ĐỒ ÁN TỐT NGHIỆP\wildtrack_demo\output\best_shots\C6\IN_C6_1018_00001900_body.png,unknown,,0.0198,UNK_0042,UNK_0042,unknown_assignment,no_known_match_over_threshold,no_face,0,,best_head_crop,D:\ĐỒ ÁN TỐT NGHIỆP\wildtrack_demo\output\best_shots\C6\IN_C6_1018_00001900_head.png,
IN_C5_1018_00001925,C5,1925,192.5,1018,D:\ĐỒ ÁN TỐT NGHIỆP\wildtrack_demo\output\best_shots\C5\IN_C5_1018_00001925_head.png,D:\ĐỒ ÁN TỐT NGHIỆP\wildtrack_demo\output\best_shots\C5\IN_C5_1018_00001925_body.png,unknown,,0.0198,UNK_0042,UNK_0042,unknown_assignment,no_known_match_over_threshold,ok,1,0.5539,best_head_crop,D:\ĐỒ ÁN TỐT NGHIỆP\wildtrack_demo\output\best_shots\C5\IN_C5_1018_00001925_head.png,"[-22, 31, 47, 114]"
IN_C5_1034_00001930,C5,1930,193,1034,D:\ĐỒ ÁN TỐT NGHIỆP\wildtrack_demo\output\best_shots\C5\IN_C5_1034_00001930_head.png,D:\ĐỒ ÁN TỐT NGHIỆP\wildtrack_demo\output\best_shots\C5\IN_C5_1034_00001930_body.png,unknown,,0.0478,UNK_0043,UNK_0043,unknown_assignment,no_known_match_over_threshold,ok,1,0.7326,best_head_crop,D:\ĐỒ ÁN TỐT NGHIỆP\wildtrack_demo\output\best_shots\C5\IN_C5_1034_00001930_head.png,"[9, 66, 48, 114]"
IN_C5_1177_00001945,C5,1945,194.5,1177,D:\ĐỒ ÁN TỐT NGHIỆP\wildtrack_demo\output\best_shots\C5\IN_C5_1177_00001945_head.png,D:\ĐỒ ÁN TỐT NGHIỆP\wildtrack_demo\output\best_shots\C5\IN_C5_1177_00001945_body.png,unknown,,0.1193,UNK_0044,UNK_0044,unknown_assignment,no_known_match_over_threshold,ok,1,0.8173,best_head_crop,D:\ĐỒ ÁN TỐT NGHIỆP\wildtrack_demo\output\best_shots\C5\IN_C5_1177_00001945_head.png,"[16, 17, 51, 57]"
IN_C6_1198_00001980,C6,1980,198,1198,D:\ĐỒ ÁN TỐT NGHIỆP\wildtrack_demo\output\best_shots\C6\IN_C6_1198_00001980_head.png,D:\ĐỒ ÁN TỐT NGHIỆP\wildtrack_demo\output\best_shots\C6\IN_C6_1198_00001980_body.png,unknown,,0.0307,UNK_0045,UNK_0045,unknown_assignment,no_known_match_over_threshold,ok,1,0.7649,best_head_crop,D:\ĐỒ ÁN TỐT NGHIỆP\wildtrack_demo\output\best_shots\C6\IN_C6_1198_00001980_head.png,"[11, -5, 29, 20]"
